Appelation,Parker,Robinson,Suckling,Prix
Montagne-Saint-Emilion,88.0,88.0,88.0,14.0
Pomerol,89.0,None,89.0,41.0
Saint-Estèphe,91.0,91.0,91.0,34.5
Pessac-Léognan,91.0,91.0,91.0,42.0
Pomerol,91.0,91.0,91.0,40.0
Haut-Médoc,85.0,85.0,85.0,36.0
Pomerol,90.0,90.0,None,40.5
Margaux,94.0,94.0,94.0,93.5
Graves,89.0,89.0,89.0,18.0
Lalande de Pomerol,90.0,90.0,90.0,25.0
Pauillac,92.0,92.0,92.0,140.0
Saint-Julien,95.0,95.0,95.0,67.0
Saint-Emilion,92.0,None,92.0,37.0
Sauternes,96.0,96.0,96.0,470.0
Pomerol,90.0,None,90.0,33.5
Saint-Emilion,93.0,93.0,93.0,68.0
Saint-Emilion,89.5,None,89.5,29.0
Pessac-Léognan,88.0,88.0,88.0,37.0
Pomerol,93.0,93.0,93.0,105.0
Margaux,91.0,91.0,91.0,33.33
Pomerol,None,None,93.0,37.0
Margaux,None,None,86.0,18.5
Pauillac,93.0,93.0,93.0,90.0
Saint-Emilion,95.0,None,95.0,85.0
Saint-Emilion,88.0,None,88.0,36.0
Haut-Médoc,89.0,89.0,89.0,19.75
Pauillac,98.0,98.0,98.0,225.0
Listrac,88.0,88.0,88.0,18.75
Castillon Côtes de Bordeaux,90.0,90.0,90.0,27.5
Margaux,88.0,88.0,88.0,31.0
Pauillac,93.0,93.0,93.0,72.0
Saint-Emilion,93.0,93.0,93.0,41.0
Saint-Estèphe,89.0,89.0,89.0,27.0
Margaux,84.0,None,84.0,24.0
Pessac-Léognan,91.0,91.0,91.0,47.0
Pauillac,95.0,95.0,95.0,165.0
Haut-Médoc,92.0,92.0,92.0,32.0
Margaux,90.0,90.0,90.0,47.0
Saint-Emilion,None,None,None,22.5
Montagne-Saint-Emilion,88.0,88.0,88.0,27.5
Castillon Côtes de Bordeaux,90.0,90.0,90.0,25.5
Saint-Julien,93.0,93.0,93.0,70.0
Pauillac,90.0,None,90.0,29.0
Saint-Estèphe,92.0,92.0,92.0,64.0
Saint-Estèphe,90.0,90.0,90.0,41.83
Margaux,94.0,94.0,94.0,116.0
Saint-Emilion,87.0,None,87.0,29.0
Lalande de Pomerol,None,None,92.0,24.5
Saint-Julien,87.0,87.0,87.0,71.67
Castillon Côtes de Bordeaux,89.0,89.0,89.0,27.0
Margaux,89.0,89.0,89.0,41.0
Haut-Médoc,90.0,None,90.0,16.25
Barsac,90.0,90.0,None,73.33
Pauillac,90.0,90.0,90.0,35.0
Saint-Emilion,90.0,90.0,90.0,44.0
Saint-Emilion,94.0,None,94.0,67.0
Haut-Médoc,None,16.5,16.5,31.17
Lalande de Pomerol,None,16.5,16.5,28.5
Margaux,92.0,92.0,92.0,55.0
Margaux,None,None,None,20.5
Pessac-Léognan,89.0,None,89.0,23.67
Saint-Estèphe,90.0,90.0,90.0,37.0
Saint-Emilion,93.0,93.0,93.0,52.0
Saint-Emilion,93.0,93.0,93.0,52.0
Pessac-Léognan,90.0,None,90.0,25.5
Saint-Estèphe,90.0,90.0,90.0,36.0
Saint-Emilion,None,None,91.5,21.5
Castillon Côtes de Bordeaux,89.0,89.0,89.0,21.0
Saint-Julien,90.0,None,None,22.0
Margaux,92.0,92.0,92.0,40.5
Haut-Médoc,89.0,89.0,89.0,38.0
Sauternes,None,None,None,23.5
Pessac-Léognan,92.0,92.0,92.0,74.0
Pomerol,90.0,90.0,90.0,45.0
Saint-Estèphe,93.0,93.0,93.0,52.0
Pessac-Léognan,95.0,95.0,95.0,88.0
Saint-Estèphe,89.0,89.0,89.0,21.0
Pessac-Léognan,94.0,94.0,94.0,103.0
Haut-Médoc,89.0,89.0,89.0,79.0
Bordeaux,90.0,None,90.0,9.33
Pauillac,93.0,93.0,93.0,65.0
Haut-Médoc,90.0,90.0,90.0,29.67
Saint-Estèphe,87.0,87.0,87.0,28.5
Saint-Estèphe,87.0,87.0,87.0,33.0
Saint-Estèphe,None,15.5,15.5,21.67
Saint-Emilion,89.0,89.0,89.0,63.0
Haut-Médoc,None,None,None,18.67
Saint-Julien,None,16.5,16.5,26.5
Saint-Emilion,94.0,None,94.0,79.0
Saint-Emilion,None,None,None,24.5
Sauternes,None,15.5,None,25.0
Saint-Emilion,93.0,93.0,93.0,48.0
Pessac-Léognan,89.0,89.0,89.0,31.0
Sauternes,95.0,95.0,95.0,445.0
Barsac,95.0,95.0,95.0,46.67
Pauillac,85.0,85.0,85.0,36.0
Pessac-Léognan,93.0,93.0,93.0,45.25
Pessac-Léognan,93.0,93.0,93.0,50.5
Pauillac,92.0,92.0,92.0,66.0
Saint-Estèphe,None,None,88.0,17.5
Pomerol,92.0,92.0,92.0,53.0
Pessac-Léognan,90.0,90.0,90.0,28.67
Pauillac,90.0,90.0,90.0,37.0
Pauillac,99.0,99.0,99.0,1150.0
Pauillac,96.0,96.0,96.0,271.0
Saint-Emilion,93.0,93.0,93.0,36.42
Castillon Côtes de Bordeaux,92.0,92.0,92.0,30.0
Bordeaux Blancs Secs,None,None,None,22.33
Bordeaux Blancs Secs,None,None,None,22.33
Pessac-Léognan,95.0,95.0,95.0,42.0
Saint-Emilion,91.0,91.0,91.0,42.0
Saint-Julien,92.0,92.0,92.0,119.17
Sauternes,93.0,93.0,93.0,61.33
Saint-Emilion,None,16.5,16.5,32.5
Moulis,84.0,84.0,84.0,39.0
Saint-Emilion,96.0,96.0,96.0,498.0
Margaux,92.0,92.0,92.0,70.0
Saint-Emilion,91.0,91.0,91.0,38.5
Saint-Julien,95.0,95.0,95.0,138.0
Saint-Estèphe,90.0,90.0,90.0,24.0
Pauillac,None,17.0,17.0,150.0
Saint-Estèphe,91.0,91.0,91.0,46.0
Pauillac,92.0,92.0,92.0,67.0
Haut-Médoc,None,None,88.0,24.0
Pomerol,91.0,None,91.0,33.0
Margaux,None,None,87.0,23.0
Haut-Médoc,None,15.5,15.5,19.75
Margaux,88.0,88.0,88.0,79.0
Haut-Médoc,89.0,89.0,89.0,14.0
Pessac-Léognan,87.0,None,87.0,21.0
